Epoch 1/25 | Avg Loss: 6.4545 | Avg Acc: 0.2304 | Time: 27.66s
Epoch 2/25 | Avg Loss: 6.0173 | Avg Acc: 0.2424 | Time: 28.85s
Epoch 3/25 | Avg Loss: 5.6773 | Avg Acc: 0.2574 | Time: 27.88s
Epoch 4/25 | Avg Loss: 5.3434 | Avg Acc: 0.2729 | Time: 27.84s
Epoch 5/25 | Avg Loss: 5.0028 | Avg Acc: 0.2909 | Time: 28.24s
Epoch 6/25 | Avg Loss: 4.6513 | Avg Acc: 0.3140 | Time: 28.15s
Epoch 7/25 | Avg Loss: 4.2842 | Avg Acc: 0.3416 | Time: 28.06s
Epoch 8/25 | Avg Loss: 3.9041 | Avg Acc: 0.3751 | Time: 27.99s
Epoch 9/25 | Avg Loss: 3.5140 | Avg Acc: 0.4173 | Time: 28.00s
Epoch 10/25 | Avg Loss: 3.1255 | Avg Acc: 0.4629 | Time: 28.03s
Epoch 11/25 | Avg Loss: 2.7485 | Avg Acc: 0.5148 | Time: 28.00s
Epoch 12/25 | Avg Loss: 2.3903 | Avg Acc: 0.5671 | Time: 27.97s
Epoch 13/25 | Avg Loss: 2.0713 | Avg Acc: 0.6191 | Time: 27.99s
Epoch 14/25 | Avg Loss: 1.8003 | Avg Acc: 0.6689 | Time: 27.98s
Epoch 15/25 | Avg Loss: 1.5862 | Avg Acc: 0.7126 | Time: 27.97s
Epoch 16/25 | Avg Loss: 1.4546 | Avg Acc: 0.7378 | Time: 27.95s
Epoch 17/25 | Avg Loss: 1.3668 | Avg Acc: 0.7552 | Time: 27.92s
Epoch 18/25 | Avg Loss: 1.3268 | Avg Acc: 0.7614 | Time: 27.91s
Epoch 19/25 | Avg Loss: 1.3060 | Avg Acc: 0.7639 | Time: 27.93s
Epoch 20/25 | Avg Loss: 1.2862 | Avg Acc: 0.7661 | Time: 27.91s
Epoch 21/25 | Avg Loss: 1.2791 | Avg Acc: 0.7668 | Time: 27.89s
Epoch 22/25 | Avg Loss: 1.2492 | Avg Acc: 0.7714 | Time: 27.91s
Epoch 23/25 | Avg Loss: 1.2056 | Avg Acc: 0.7802 | Time: 27.95s
Epoch 24/25 | Avg Loss: 1.1727 | Avg Acc: 0.7861 | Time: 27.93s
Epoch 25/25 | Avg Loss: 1.1386 | Avg Acc: 0.7936 | Time: 27.95s
